Districts,State Highways ,Major District Roads,Rural Roads
ADILABAD,80,123,301
BHADRADRI,104,410,420
HYDERABAD,37,5,77
JAGTIAL ,0,222,461
JANGAON ,28,564,49
JAYASHANKAR ,33,229,316
JOGULAMBA ,166,280,0
KAMAREDDY ,145,422,343
KARIMNAGAR ,58,489,264
KHAMMAM ,185,185,914
KOMARAM BHEEM ,80,652,297
MAHABUBABAD,61,509,0
MAHABUBNAGAR,143,487,323
MANCHERIAL ,111,719,106
MEDAK ,188,374,245
MEDCHAL,18,152,0
NAGARKURNOOL ,146,643,346
NALGONDA ,267,186,542
NIRMAL ,119,781,234
NIZAMABAD ,89,598,590
PEDDAPALLI ,12,189,255
RAJANNA ,71,314,341
RANGAREDDY ,162,472,391
SANGAREDDY ,90,323,418
SIDDIPET ,99,898,657
SURYAPET ,80,594,359
VIKARABAD ,119,392,284
WANAPARTHY ,26,452,102
WARANGAL (R) ,9,215,62
WARANGAL (U),0,697,164
YADADRI ,42,487,378
