,Districts,Marginal,Small farms,Semi-Medium farms,Medium farms,Large,crop_intensity,Literacy Rate,capacity_warehouse,occupancy_warehouse,vacancy_warehouse,NonWork-%,State Highways,Major District Roads,Rural Roads,crop_diversity
0,ADILABAD,38320.0,44643.0,31113.0,7611.0,535.0,1.05,63.44,76665.0,19591.8,57073.2,50.75672946181231,80,123,301,26.0
1,BHADRADRI,75738.0,32202.0,19815.0,4750.0,573.0,1.15,66.445,66050.0,53851.99,12198.009999999998,51.63846806345691,104,410,420,15.0
2,HYDERABAD,,,,,,,83.16999999999999,4000.0,0.0,4000.0,64.15974547355111,37,5,77,
3,JAGTIAL ,122152.0,33610.0,14069.0,4141.0,305.0,1.32,60.489999999999995,60040.0,27908.149999999994,32131.850000000002,45.5625384989299,0,222,461,15.0
4,JANGAON ,90994.0,35348.0,15975.0,5459.0,406.0,1.28,61.449999999999996,31000.0,23879.04,7120.96,49.23990423323022,28,564,49,13.0
5,JAYASHANKAR ,121526.0,38719.0,15624.0,3353.0,330.0,1.25,60.405,41500.0,21439.12,20060.88,46.045732984366786,33,229,316,15.0
6,JOGULAMBA ,76414.0,39038.0,20267.0,6026.0,620.0,1.11,49.765,20000.0,3055.56,16944.440000000002,46.21452810701815,166,280,0,
7,KAMAREDDY ,156771.0,55496.0,17783.0,3432.0,230.0,1.54,56.75,120000.0,41694.06,78305.94,49.19100372702738,145,422,343,20.0
8,KARIMNAGAR ,104917.0,34191.0,12359.0,3045.0,219.0,1.77,69.16,267600.0,267194.04000000004,405.96000000000595,53.871440204989305,58,489,264,13.0
9,KHAMMAM ,173692.0,58241.0,26821.0,8381.0,527.0,1.16,66.0,79900.0,45673.13,34226.869999999995,49.72107653967962,185,185,914,18.0
10,KOMARAM BHEEM ,37374.0,28260.0,24321.0,6819.0,589.0,1.11,56.745,20000.0,0.0,20000.0,50.95092785743643,80,652,297,37.0
11,MAHABUBABAD,89181.0,31077.0,13562.0,4937.0,860.0,1.12,57.165,164973.0,86490.88,78482.12,47.39080419702304,61,509,0,12.5
12,MAHABUBNAGAR,180328.0,77611.0,38264.0,11618.0,1263.0,1.08,56.8,25000.0,11432.880000000001,13567.119999999999,50.22407529844758,143,487,323,20.0
13,MANCHERIAL ,92733.0,30723.0,16756.0,4654.0,581.0,1.19,64.275,169751.0,68596.54000000001,101154.45999999999,57.27767128396839,111,719,106,9.0
14,MEDAK ,166161.0,39441.0,10549.0,2151.0,232.0,1.28,56.33,43000.0,30220.25,12779.75,49.7268799157706,188,374,245,16.0
15,MEDCHAL,19352.0,5239.0,2717.0,980.0,123.0,,82.39,16350.0,20432.68,-4082.6800000000003,60.74490394344759,18,152,0,7.0
16,NAGARKURNOOL ,142416.0,67658.0,33672.0,8563.0,841.0,1.19,54.245,5000.0,2204.4,2795.6,46.9969806188687,146,643,346,19.0
17,NALGONDA ,210618.0,96135.0,47503.0,14159.0,1185.0,1.17,63.68000000000001,345517.0,331003.02,14513.980000000001,50.19259572322567,267,186,542,20.0
18,NIRMAL ,90750.0,40308.0,18575.0,4905.0,425.0,1.14,58.085,36350.0,32432.64,3917.36,46.8916774031671,119,781,234,12.0
19,NIZAMABAD ,162040.0,56510.0,16438.0,2857.0,204.0,1.04,64.515,181650.0,66517.47,115132.53000000001,51.46051423850208,89,598,590,20.0
20,PEDDAPALLI ,88992.0,27047.0,10175.0,2063.0,144.0,1.66,65.52000000000001,64600.0,61939.520000000004,2660.4800000000005,56.59498171832643,12,189,255,17.0
21,RAJANNA ,63243.0,24497.0,9235.0,2117.0,211.0,1.35,62.82,43000.0,13158.16,29841.84,45.898010459443846,71,314,341,12.0
22,RANGAREDDY ,146188.0,57317.0,28672.0,9788.0,1123.0,1.1,71.785,16500.0,3387.11,13112.89,57.914616772917086,162,472,391,26.0
23,SANGAREDDY ,164187.0,66954.0,28638.0,9524.0,1176.0,1.05,63.93,40000.0,20407.53,19592.47,54.952645539359054,90,323,418,17.0
24,SIDDIPET ,174436.0,60486.0,21161.0,5871.0,562.0,1.37,61.69,71500.0,22888.99,48611.01,49.651158769446624,99,898,657,9.0
25,SURYAPET ,136797.0,50579.0,23145.0,6577.0,487.0,1.44,64.12,72050.0,97294.47,-25244.47,48.93157262905162,80,594,359,12.0
26,VIKARABAD ,118473.0,59028.0,26578.0,6869.0,675.0,1.05,57.95,15000.0,2631.3,12368.7,49.29007485385163,119,392,284,18.0
27,WANAPARTHY ,85944.0,31474.0,15557.0,4002.0,350.0,1.18,55.5,16000.0,6040.91,9959.09,48.741687696232674,26,452,102,21.0
28,WARANGAL (R) ,138108.0,35510.0,12035.0,3027.0,210.0,,61.285000000000004,84334.0,42316.58,42017.420000000006,47.58627600248839,9,215,62,
29,WARANGAL (U),60877.0,18758.0,7201.0,1731.0,164.0,,76.19,82000.0,32110.629999999997,49889.37,59.324906694496406,0,697,164,14.0
30,YADADRI ,91480.0,42290.0,19565.0,5717.0,497.0,1.28,65.42,13700.0,8908.64,4791.36,51.673004727851044,42,487,378,26.0
